PLATFORM_CODE,PARAMETER_NAME,START_DATE,END_DATE,QUALITY_CODE,COMMENT,DAC
1900167,PSAL,20030719,,3,frozen profile,AO
1900167,TEMP,20030719,,3,frozen profile,AO
1900168,PSAL,20030608,,3,frozen profile,AO
1900168,TEMP,20030608,,3,frozen profile,AO
1900201,PRES,20070302,,3,potential problem with bin assignment,AO
1900203,PSAL,20070117,,4,sensor problem,AO
1900203,TEMP,20070117,,4,sensor problem,AO
1900432,PRES,20071129,,3,sensor problem,AO
1900432,PSAL,20071129,,3,sensor problem,AO
1900432,TEMP,20071129,,3,sensor problem,AO
1900504,PSAL,20060707,,3,sensor problem,AO
1900504,TEMP,20060707,,3,sensor problem,AO
1900527,PRES,20050626,,3,potential problem with bin assignment,AO
1900528,PSAL,20070608,,3,sensor problem,AO
1900528,TEMP,20070608,,3,sensor problem,AO
1900531,PRES,20050810,,3,potential problem with bin assignment,AO
1900533,PRES,20050810,,3,potential problem with bin assignment,AO
1900534,PRES,20050812,,3,potential problem with bin assignment,AO
1900560,PRES,20050826,,3,potential problem with bin assignment,AO
1900561,PRES,20050912,,3,potential problem with bin assignment,AO
1900562,PRES,20050920,,3,potential problem with bin assignment,AO
1900563,PRES,20050921,,3,potential problem with bin assignment,AO
1900566,PRES,20050924,,3,potential problem with bin assignment,AO
1900567,PRES,20051016,,3,potential problem with bin assignment,AO
1900573,PSAL,20060319,,3,salinity drift,AO
1900574,PRES,20051202,,3,potential problem with bin assignment,AO
1900581,PSAL,20060121,,3,sensor drift,AO
1900582,PSAL,20060209,,4,sensor problem,AO
1900582,TEMP,20060209,,4,sensor problem,AO
1900635,PRES,20060127,,3,potential problem with bin assignment,AO
1900636,PRES,20060128,,3,potential problem with bin assignment,AO
1900637,PRES,20060129,,3,potential problem with bin assignment,AO
1900639,PRES,20060128,,3,potential problem with bin assignment,AO
1900641,PRES,20051010,,3,potential problem with bin assignment,AO
1900643,PRES,20050929,,3,potential problem with bin assignment,AO
1900645,PRES,20060207,,3,potential problem with bin assignment,AO
1900646,PRES,20060208,,3,potential problem with bin assignment,AO
1900688,PRES,20060218,,3,potential problem with bin assignment,AO
1900690,PRES,20060220,,3,potential problem with bin assignment,AO
1900702,PRES,20060508,,3,potential problem with bin assignment,AO
1900703,PRES,20060509,,3,potential problem with bin assignment,AO
1900704,PRES,20060510,,3,potential problem with bin assignment,AO
1900707,PRES,20060602,,3,potential problem with bin assignment,AO
1900709,PRES,20060605,,3,potential problem with bin assignment,AO
1900710,PRES,20060607,,3,potential problem with bin assignment,AO
1900727,PRES,20150612,,3,sensor problems,AO
1900727,PSAL,20150612,,3,sensor problems,AO
1900727,TEMP,20150612,,3,sensor problems,AO
1900734,PSAL,20060811,,4,sensor failure,AO
1900734,TEMP,20060811,,4,sensor failure,AO
1900738,PSAL,20090102,,4,bad conductivity sensor,AO
1900749,PSAL,20110914,,4,malfunction of CTD,AO
1900749,TEMP,20110914,,4,malfunction of CTD,AO
1900756,PSAL,20061202,,3,sensor problem & drift,AO
1900976,PRES,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1900976,PSAL,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1900976,TEMP,20120702,,3,pressure microleak; snowflake starting 06-02-2014,AO
1900991,PRES,20110225,,4,CTD malfunction,AO
1900991,PSAL,20110225,,4,CTD malfunction,AO
1900991,TEMP,20110225,,4,CTD malfunction,AO
1901369,PSAL,20131001,,4,salinity sensor problem,AO
1901396,PSAL,20110910,,4,salinity calibration jump,AO
1901397,PSAL,20110713,,4,salinity calibration jump,AO
1901504,PSAL,20140531,,4,sensor problem,AO
1901504,TEMP,20140531,,4,sensor problem,AO
1901522,PSAL,20160610,,3,sensor problem,AO
1901522,TEMP,20160610,,3,sensor problem,AO
1901696,PSAL,20140419,,4,salinity sensor problem,AO
1901708,PSAL,20140304,,4,sensor problem,AO
1901796,PSAL,20160603,,4,sensor problem,AO
1901803,PSAL,20170322,,4,sensor drift,AO
2900090,PSAL,20050523,,3,sensor drift,AO
2900091,PRES,20060324,,3,on surface; battery is dying,AO
2900091,PSAL,20060324,,3,on surface; battery is dying,AO
2900091,TEMP,20060324,,3,on surface; battery is dying,AO
2900156,PRES,20061020,,4,pressure sensor problem,AO
2900156,PSAL,20061020,,3,pressure sensor problem,AO
2900156,TEMP,20061020,,3,pressure sensor problem,AO
2900368,PRES,20061129,,4,pressure sensor problem,AO
2900368,PSAL,20061129,,3,pressure sensor problem,AO
2900368,TEMP,20061129,,3,pressure sensor problem,AO
2900385,PRES,20080213,,3,sensor problem,AO
2900385,PSAL,20080213,,3,sensor problem,AO
2900385,TEMP,20080213,,3,sensor problem,AO
2900801,PRES,20080205,,3,sensor problem,AO
2900801,PSAL,20080205,,3,sensor problem,AO
2900801,TEMP,20080205,,3,sensor problem,AO
2900803,PRES,20080220,,3,sensor problem,AO
2900803,PSAL,20080220,,3,sensor problem,AO
2900803,TEMP,20080220,,3,sensor problem,AO
2901149,PRES,20100326,,4,on board of a ship,AO
2901149,PSAL,20100326,,4,on board of a ship,AO
2901149,TEMP,20100326,,4,on board of a ship,AO
2901376,PRES,20100824,,4,picked up by a boat.,AO
2901376,PSAL,20100824,,4,picked up by a boat.,AO
2901376,TEMP,20100824,,4,picked up by a boat.,AO
2901438,PRES,20140406,,4,sensor problem,AO
2901438,PSAL,20140406,,4,sensor problem,AO
2901438,TEMP,20140406,,4,sensor problem,AO
3900148,PSAL,20031108,,3,T (S) often (mostly) fill value,AO
3900148,TEMP,20031108,,3,T (S) often (mostly) fill value,AO
3900356,PRES,20080521,,3,sensor problem,AO
3900356,PSAL,20080521,,3,sensor problem,AO
3900356,TEMP,20080521,,3,sensor problem,AO
3900364,PSAL,20041218,,4,salinity drift,AO
3900437,PRES,20050517,,3,potential problem with bin assignment,AO
3900440,PSAL,20060707,,3,salinity drift,AO
3900442,PSAL,20070331,,3,sensor problem,AO
3900442,TEMP,20070331,,3,sensor problem,AO
3900478,PRES,20050819,,3,potential problem with bin assignment,AO
3900480,PRES,20050818,,3,potential problem with bin assignment,AO
3900484,PRES,20050920,,3,potential problem with bin assignment,AO
3900486,PRES,20060329,,3,sensor drift,AO
3900486,PSAL,20060329,,3,sensor drift,AO
3900489,PRES,20051005,,3,potential problem with bin assignment,AO
3900490,PRES,20051007,,3,potential problem with bin assignment,AO
3900492,PSAL,20061203,,4,sensor problem,AO
3900492,TEMP,20061203,,4,sensor problem,AO
3900495,PSAL,20051030,,4,salinity drift,AO
3900548,PRES,20090211,,3,float on shore,AO
3900548,PSAL,20090211,,3,float on shore,AO
3900548,TEMP,20090211,,3,float on shore,AO
3900564,PRES,20060124,,3,potential problem with bin assignment,AO
3900567,PRES,20060209,,3,potential problem with bin assignment,AO
3900568,PRES,20060210,,3,potential problem with bin assignment,AO
3900569,PRES,20060223,,3,potential problem with bin assignment,AO
3900570,PRES,20060223,,3,potential problem with bin assignment,AO
3900579,PRES,20060612,,3,potential problem with bin assignment,AO
3900581,PRES,20060702,,3,potential problem with bin assignment,AO
3900601,PRES,20060827,,3,sensor drift,AO
3900601,PSAL,20060827,,3,sensor drift,AO
3900602,PRES,20060409,,3,sensor drift,AO
3900602,PSAL,20060409,,3,sensor drift,AO
3900608,PRES,20060802,,3,potential problem with bin assignment,AO
3900611,PSAL,20100119,,3,message transmission errors,AO
3900611,TEMP,20100119,,3,message transmission errors,AO
3900678,PSAL,20111203,,4,failing conductivity cell,AO
3900679,PSAL,20100324,,3,failing conductivity sensor,AO
3900681,PSAL,20081115,,4,faulty conductivity sensor.,AO
3900738,PRES,20140926,,3,pressure microleak; no snowflake as of profile 184,AO
3900738,PSAL,20140926,,3,pressure microleak; no snowflake as of profile 184,AO
3900738,TEMP,20140926,,3,pressure microleak; no snowflake as of profile 184,AO
3900797,PSAL,20061218,,3,salinity drift,AO
3900799,PSAL,20111102,,3,drifting conductivity cell,AO
3900845,PRES,20140804,,3,sensor problem,AO
3900845,PSAL,20140804,,3,sensor problem,AO
