# Title : in-situ platforms catalog 
# Description : catalog of available in-situ platforms. 
# Project : Copernicus 
# Format version : 1.0 
# Date of update : 20170815121702 
# platform_code,creation_date,update_date,wmo_platform_code,data_source,institution,institution_edmo_code,parameters,last_good_latitude_observation,last_good_longitude_observation,last_good_date_observation 
00000,2013-06-24T16:32:11Z,2017-07-17T06:41:27Z,00000,GL_PR_TE_00000.nc,Unknown institution,,PRES TEMP,55.15,-42.01,1999-02-26T13:08:00Z
00136,2013-06-24T14:06:31Z,2017-07-16T21:19:18Z,00136,GL_PR_BA_00136.nc,Unknown institution,,DEPH TEMP,32.015,158.862,2008-11-05T11:00:00Z
0100571,2015-01-18T20:57:27Z,2017-07-31T20:44:38Z,0100571,GL_201603_TS_DC_0100571.nc,Unknown institution,,DEPH WSPE_MODEL WSPN_MODEL WSTN_MODEL WSTE_MODEL TEMP NSCT EWCT CURRENT_TEST,-45.442,13.308,2016-03-27T12:00:00Z
0100573,2015-02-22T20:35:43Z,2017-07-31T20:48:36Z,0100573,GL_TS_DC_0100573.nc,Unknown institution,,DEPH WSPE_MODEL WSPN_MODEL WSTN_MODEL WSTE_MODEL TEMP NSCT EWCT CURRENT_TEST,-44.265,47.568,2016-04-25T00:00:00Z
0100574,2014-11-09T20:00:04Z,2017-07-31T20:48:36Z,0100574,GL_201604_TS_DC_0100574.nc,Unknown institution,,DEPH WSPE_MODEL WSPN_MODEL WSTN_MODEL WSTE_MODEL TEMP NSCT EWCT CURRENT_TEST,-46.25,-18.832,2016-04-25T03:00:00Z
0100576,2016-01-31T20:05:45Z,2017-07-31T20:36:29Z,0100576,GL_TS_DC_0100576.nc,Unknown institution,,DEPH WSPE_MODEL WSPN_MODEL WSTN_MODEL WSTE_MODEL TEMP NSCT EWCT CURRENT_TEST,-59.056,-57.449,2016-01-03T12:00:00Z
0100578,2014-11-09T20:00:05Z,2017-07-31T20:48:37Z,0100578,GL_TS_DC_0100578.nc,Unknown institution,,DEPH WSPE_MODEL WSPN_MODEL WSTN_MODEL WSTE_MODEL TEMP NSCT EWCT CURRENT_TEST,-26.152,12.847,2016-04-25T03:00:00Z
0100579,2015-01-18T20:57:27Z,2017-07-31T20:48:37Z,0100579,GL_201604_TS_DC_0100579.nc,Unknown institution,,DEPH WSPE_MODEL WSPN_MODEL WSTN_MODEL WSTE_MODEL TEMP NSCT EWCT CURRENT_TEST,-39.09,38.153,2016-04-25T00:00:00Z
0100580,2015-12-27T20:18:35Z,2017-07-31T20:48:37Z,0100580,GL_201604_TS_DC_0100580.nc,Unknown institution,,DEPH WSPE_MODEL WSPN_MODEL WSTN_MODEL WSTE_MODEL TEMP NSCT EWCT CURRENT_TEST,-54.154,-41.681,2016-04-25T00:00:00Z
0100605,2016-01-03T20:12:45Z,2017-07-31T20:32:20Z,0100605,GL_201512_TS_DC_0100605.nc,Unknown institution,,DEPH WSPE_MODEL WSPN_MODEL WSTN_MODEL WSTE_MODEL TEMP NSCT EWCT CURRENT_TEST,-61.372,-55.495,2015-12-06T12:00:00Z
