# Title : Trajectory directory file of the Argo global Data Assembly Center
# Description : The directory file describes all trajectory files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20080326002327
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,latitude_max,latitude_min,longitude_max,longitude_min,profiler_type,institution,date_update
aoml/13857/13857_traj.nc,6.931,0.00751667,-15.014,-33.808,845,AO,20060628161547
aoml/13858/13858_traj.nc,5.213,-0.363,-9.498,-17.793,845,AO,20060628161548
aoml/13859/13859_traj.nc,5.929,-0.939,-19.0068,-33.677,845,AO,20060628161554
aoml/15819/15819_traj.nc,-2.659,-9.186,-16.427,-39.959,845,AO,20060628161549
aoml/15820/15820_traj.nc,-1.978,-7.14,-9.896,-35.764,845,AO,20060628161550
aoml/15851/15851_traj.nc,-2.734,-6.22,3.327,-21.144,845,AO,20060628161555
aoml/15852/15852_traj.nc,-5.037,-8.439,-1.48867,-18.864,845,AO,20060628161556
aoml/15853/15853_traj.nc,-4.698,-8.248,-4.398,-17.956,845,AO,20060628161556
aoml/15854/15854_traj.nc,-4.81,-7.198,-6.409,-12.688,845,AO,20060628161557
aoml/15855/15855_traj.nc,-1.794,-6.00167,7,-5.453,845,AO,20060628161559
aoml/1900022/1900022_traj.nc,26.895,13.8488,-55.257,-66.088,851,AO,20060628161826
aoml/1900033/1900033_traj.nc,14.303,10.098,-32.586,-49.008,851,AO,20060628161804
aoml/1900034/1900034_traj.nc,11.125,5.043,-28.639,-34.852,851,AO,20060628161805
aoml/1900035/1900035_traj.nc,20.935,17.989,-40.5217,-48.988,851,AO,20060628161805
aoml/1900036/1900036_traj.nc,37.66,31.395,-17.557,-25.302,851,AO,20060628161817
aoml/1900037/1900037_traj.nc,36.7117,30.951,-26.9983,-38.415,851,AO,20060628161811
aoml/1900038/1900038_traj.nc,35.884,29.578,-26.595,-30.0283,851,AO,20060628161811
aoml/1900039/1900039_traj.nc,39.407,32.69,-32.541,-56.048,851,AO,20060628161814
aoml/1900040/1900040_traj.nc,35.192,29.191,-35.225,-41.669,851,AO,20060628161815
aoml/1900041/1900041_traj.nc,38.144,34.1917,-10.13,-23.146,851,AO,20060628161836
aoml/1900042/1900042_traj.nc,-39.706,-46.918,94.943,50.177,846,AO,20070213101542
aoml/1900043/1900043_traj.nc,-45.842,-61.616,102.611,53.988,846,AO,20070213101546
aoml/1900044/1900044_traj.nc,-44.196,-56.308,178.992,-179.765,846,AO,20071222101522
aoml/1900045/1900045_traj.nc,-45.33,-51.349,133.309,61.677,846,AO,20070207161959
aoml/1900046/1900046_traj.nc,-39.978,-50.183,125.293,60.03,846,AO,20080316101533
aoml/1900047/1900047_traj.nc,-46.038,-59.543,137.088,62.871,846,AO,20080317101519
aoml/1900048/1900048_traj.nc,-51.551,-52.783,72.436,68.905,846,AO,20070207161829
aoml/1900049/1900049_traj.nc,-52.29,-52.768,72.536,70.363,846,AO,20060628162048
aoml/1900050/1900050_traj.nc,-19.997,-30.042,58.398,40.847,846,AO,20080323101515
aoml/1900051/1900051_traj.nc,-19.404,-30.912,54.307,33.614,846,AO,20070401101515
aoml/1900052/1900052_traj.nc,-7.685,-32.601,60.0033,35.024,846,AO,20080324101519
aoml/1900053/1900053_traj.nc,-14.051,-23.226,69.441,53.601,846,AO,20080324101521
aoml/1900054/1900054_traj.nc,-14.453,-30.049,75.549,43.798,846,AO,20080325101511
aoml/1900055/1900055_traj.nc,-11.633,-13.68,71.515,61.527,846,AO,20060628162040
aoml/1900056/1900056_traj.nc,-3.006,-11.59,79.9,45.06,846,AO,20080316101528
aoml/1900057/1900057_traj.nc,-27.746,-36.955,-16.058,-37.752,851,AO,20070116101509
aoml/1900058/1900058_traj.nc,-29.086,-35.909,-9.122,-28.865,851,AO,20060628162136
aoml/1900059/1900059_traj.nc,-6.896,-23.058,-15.166,-84.378,851,AO,20080320101509
aoml/1900060/1900060_traj.nc,-10.38,-19.916,-8.559,-38.605,851,AO,20080319101527
aoml/1900061/1900061_traj.nc,-18.61,-21.13,-0.618,-8.692,851,AO,20070308091902
aoml/1900062/1900062_traj.nc,-16.541,-20.281,-5.21,-14.527,851,AO,20070308092009
aoml/1900143/1900143_traj.nc,-3.546,-10.245,82.03,67.322,846,AO,20080316101525
aoml/1900144/1900144_traj.nc,-4.535,-11.536,94.446,76.313,846,AO,20080317101511
aoml/1900145/1900145_traj.nc,-42.0033,-47.09,77.125,73.185,846,AO,20060628162100
aoml/1900146/1900146_traj.nc,-40.712,-45.557,108.876,75.225,846,AO,20070207161918
aoml/1900147/1900147_traj.nc,-42.375,-50.846,150.878,76.326,846,AO,20070213101549
aoml/1900148/1900148_traj.nc,-41.495,-60.783,176.834,77.103,846,AO,20070207162039
aoml/1900149/1900149_traj.nc,-43.404,-56.607,119.77,74.619,846,AO,20070208101618
aoml/1900150/1900150_traj.nc,-31.391,-43.843,78.468,45.97,846,AO,20080318101527
aoml/1900151/1900151_traj.nc,-37.527,-47.138,108.873,74.955,846,AO,20080318101530
aoml/1900152/1900152_traj.nc,-34.988,-42.869,85.826,77.122,846,AO,20070207161732
aoml/1900153/1900153_traj.nc,-42.097,-60.052,179.743,-179.804,846,AO,20080103101518
aoml/1900154/1900154_traj.nc,-4.724,-17.051,80.413,38.874,846,AO,20080320101531
aoml/1900155/1900155_traj.nc,-1.53,-24.918,94.135,51.789,846,AO,20080320101537
aoml/1900156/1900156_traj.nc,21.471,3.07,72.105,49.574,846,AO,20070213101618
aoml/1900157/1900157_traj.nc,5.233,-2.007,67.565,47.1,846,AO,20080318101547
aoml/1900158/1900158_traj.nc,3.717,-14.837,103.416,63.874,846,AO,20080319101541
aoml/1900159/1900159_traj.nc,-0.891,-3.176,70.758,56.371,846,AO,20060628162229
aoml/1900160/1900160_traj.nc,6.188,-12.661,94.105,42.822,846,AO,20060628162321
aoml/1900161/1900161_traj.nc,14.353,0.463,72.061,48.328,846,AO,20060628162323
aoml/1900162/1900162_traj.nc,11.388,-1.143,55.611,43.125,846,AO,20060628162324
aoml/1900163/1900163_traj.nc,-35.5015,-43.362,30.432,16.5808,851,AO,20060628162159
aoml/1900164/1900164_traj.nc,-35.558,-48.054,114.485,10.551,851,AO,20070208141851
aoml/1900165/1900165_traj.nc,-17.628,-39.897,22.752,4.903,851,AO,20080322101532
aoml/1900166/1900166_traj.nc,6.245,-0.116,5.224,-11.548,851,AO,20080320101527
aoml/1900169/1900169_traj.nc,13.611,-0.689,80.743,46.991,846,AO,20061118101521
aoml/1900170/1900170_traj.nc,3.798,-7.954,76.725,41.058,846,AO,20060628162326
aoml/1900171/1900171_traj.nc,0.026,-10.696,86.169,41.878,846,AO,20080319101547
aoml/1900172/1900172_traj.nc,-4.179,-7.098,53.909,45.658,846,AO,20060628162329
aoml/1900180/1900180_traj.nc,-5.403,-36.454,45.754,15.665,846,AO,20071210161536
aoml/1900181/1900181_traj.nc,2.923,-13.002,59.879,40.134,846,AO,20060628162331
aoml/1900182/1900182_traj.nc,11.831,4.244,58.238,48.758,846,AO,20060628162336
aoml/1900183/1900183_traj.nc,3.069,-0.608,76.899,55.373,846,AO,20070317101551
aoml/1900184/1900184_traj.nc,8.363,-3.158,59.54,42.671,846,AO,20080320101544
aoml/1900185/1900185_traj.nc,7.879,-1.19833,72.562,46.204,846,AO,20060628162409
aoml/1900186/1900186_traj.nc,-1.949,-6.745,56.097,42.767,846,AO,20060628162411
aoml/1900187/1900187_traj.nc,11.427,-4.37,87.622,43.115,846,AO,20060628162411
aoml/1900188/1900188_traj.nc,5.462,-5.073,97.062,41.2,846,AO,20060628162413
aoml/1900189/1900189_traj.nc,-47.924,-47.943,35.944,35.927,846,AO,20060628163050
aoml/1900190/1900190_traj.nc,-43.233,-49.522,102.469,31.471,846,AO,20080319101656
aoml/1900191/1900191_traj.nc,-44.329,-52.62,90.605,29.245,846,AO,20080318101655
