# Title : Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20080325215935
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,date_update
aoml/1900050/profiles/R1900050_185.nc,20080322180955,-29.593,40.993,I,846,AO,20080323101515
aoml/1900052/profiles/R1900052_185.nc,20080323053508,-31.493,36.523,I,846,AO,20080324101519
aoml/1900053/profiles/R1900053_185.nc,20080323174610,-21.919,54.203,I,846,AO,20080324101521
aoml/1900054/profiles/R1900054_185.nc,20080324064000,-30.039,44.233,I,846,AO,20080325101511
aoml/1900059/profiles/R1900059_190.nc,20080319121739,-12.373,-34.544,A,851,AO,20080320101509
aoml/1900060/profiles/R1900060_190.nc,20080317194206,-18.809,-35.036,A,851,AO,20080319101527
aoml/1900154/profiles/R1900154_175.nc,20080319142157,99999,99999, ,846,AO,20080320101531
aoml/1900155/profiles/R1900155_175.nc,20080319035143,-20.759,51.854,I,846,AO,20080320101537
aoml/1900158/profiles/R1900158_175.nc,20080317225119,-6.131,81.135,I,846,AO,20080319101541
aoml/1900165/profiles/R1900165_187.nc,20080321022012,-17.769,5.806,A,851,AO,20080322101532
aoml/1900166/profiles/R1900166_183.nc,20080319083418,6.173,2.843,A,851,AO,20080320101527
aoml/1900171/profiles/R1900171_159.nc,20080317222324,-0.538,86.073,I,846,AO,20080319101547
aoml/1900184/profiles/R1900184_157.nc,20080318213040,-0.178,49.511,I,846,AO,20080320101544
aoml/1900190/profiles/R1900190_136.nc,20080318022322,-48.615,102.305,I,846,AO,20080319101656
aoml/1900199/profiles/R1900199_124.nc,20080322003958,-22.235,70.449,I,846,AO,20080323101844
aoml/1900240/profiles/R1900240_173.nc,20080317153330,-37.526,-20.841,A,851,AO,20080319101601
aoml/1900241/profiles/R1900241_173.nc,20080319065644,-36.111,-38.228,A,851,AO,20080320101547
aoml/1900243/profiles/R1900243_173.nc,20080321013818,-32.707,-26.404,A,851,AO,20080322101542
aoml/1900248/profiles/R1900248_172.nc,20080323103848,23.43,-41.974,A,852,AO,20080324101543
