# Title : Trajectory directory file of the Argo global Data Assembly Center
# Description : The directory file describes all trajectory files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20080326002327
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,latitude_max,latitude_min,longitude_max,longitude_min,profiler_type,institution,date_update
aoml/1900050/1900050_traj.nc,-19.997,-30.042,58.398,40.847,846,AO,20080323101515
aoml/1900052/1900052_traj.nc,-7.685,-32.601,60.0033,35.024,846,AO,20080324101519
aoml/1900053/1900053_traj.nc,-14.051,-23.226,69.441,53.601,846,AO,20080324101521
aoml/1900054/1900054_traj.nc,-14.453,-30.049,75.549,43.798,846,AO,20080325101511
aoml/1900059/1900059_traj.nc,-6.896,-23.058,-15.166,-84.378,851,AO,20080320101509
aoml/1900060/1900060_traj.nc,-10.38,-19.916,-8.559,-38.605,851,AO,20080319101527
aoml/1900154/1900154_traj.nc,-4.724,-17.051,80.413,38.874,846,AO,20080320101531
aoml/1900155/1900155_traj.nc,-1.53,-24.918,94.135,51.789,846,AO,20080320101537
aoml/1900158/1900158_traj.nc,3.717,-14.837,103.416,63.874,846,AO,20080319101541
aoml/1900165/1900165_traj.nc,-17.628,-39.897,22.752,4.903,851,AO,20080322101532
aoml/1900166/1900166_traj.nc,6.245,-0.116,5.224,-11.548,851,AO,20080320101527
aoml/1900171/1900171_traj.nc,0.026,-10.696,86.169,41.878,846,AO,20080319101547
aoml/1900184/1900184_traj.nc,8.363,-3.158,59.54,42.671,846,AO,20080320101544
aoml/1900190/1900190_traj.nc,-43.233,-49.522,102.469,31.471,846,AO,20080319101656
aoml/1900199/1900199_traj.nc,-20.121,-23.965,77.588,69.706,846,AO,20080323101844
aoml/1900240/1900240_traj.nc,-32.335,-37.545,-20.811,-32.31,851,AO,20080319101601
aoml/1900241/1900241_traj.nc,-30.801,-40.308,-30.893,-42.232,851,AO,20080320101547
aoml/1900243/1900243_traj.nc,-32.184,-48.545,-16.357,-54.35,851,AO,20080322101542
aoml/1900248/1900248_traj.nc,23.659,18.619,-28.138,-43.32,852,AO,20080324101543
aoml/1900249/1900249_traj.nc,11.732,8.901,-21.6417,-41.463,852,AO,20080324101546
aoml/1900256/1900256_traj.nc,10.248,4.94,-25.373,-32.808,851,AO,20080321101538
aoml/1900258/1900258_traj.nc,19.958,15.226,-28.0882,-49.039,852,AO,20080320101605
aoml/1900259/1900259_traj.nc,25.223,20.509,-26.125,-34.333,852,AO,20080322101546
aoml/1900261/1900261_traj.nc,-14.567,-18.283,-2.702,-15.431,852,AO,20080325101600
aoml/1900266/1900266_traj.nc,-20.53,-26.036,77.525,50.421,846,AO,20080322101755
aoml/1900267/1900267_traj.nc,-19.038,-27.636,85.403,68.822,846,AO,20080322101757
aoml/1900268/1900268_traj.nc,-6.66,-16.572,60.028,40.583,846,AO,20080319101825
aoml/1900269/1900269_traj.nc,-10.344,-22.007,64.432,43.822,846,AO,20080319101836
aoml/1900270/1900270_traj.nc,-13.656,-20.018,69.532,54.348,846,AO,20080319101838
aoml/1900272/1900272_traj.nc,-14.178,-21.571,75.004,56.699,846,AO,20080320101803
aoml/1900273/1900273_traj.nc,-15,-18.324,85.464,74.888,846,AO,20080320101805
aoml/1900354/1900354_traj.nc,-7.73,-17.742,76.381,59.04,846,AO,20080321101828
aoml/1900355/1900355_traj.nc,3.611,-11.515,73.35,19.643,846,AO,20080321101830
aoml/1900357/1900357_traj.nc,-8.652,-13.123,80.576,63.878,846,AO,20080322101929
aoml/1900358/1900358_traj.nc,-32.161,-35.31,96,92.666,846,AO,20080320102236
aoml/1900359/1900359_traj.nc,-26.041,-37.635,4.518,-14.483,852,AO,20080325101609
aoml/1900360/1900360_traj.nc,-28.258,-36.177,4.345,-14.362,852,AO,20080324101715
aoml/1900361/1900361_traj.nc,-31.71,-36.994,-3.038,-20,852,AO,20080325101603
aoml/1900362/1900362_traj.nc,-35.62,-45.966,65.823,21.129,851,AO,20080325101551
aoml/1900365/1900365_traj.nc,-25.742,-43.732,42.618,17.009,851,AO,20080325101553
aoml/1900406/1900406_traj.nc,-35.966,-40.114,115.188,109.881,846,AO,20080323102429
aoml/1900407/1900407_traj.nc,-35.328,-42.359,120.826,115.058,846,AO,20080324102241
aoml/1900409/1900409_traj.nc,-23.505,-30.556,64.25,49.924,846,AO,20080319102449
aoml/1900410/1900410_traj.nc,-27.919,-33.226,68,51.608,846,AO,20080321102156
aoml/1900413/1900413_traj.nc,-34.206,-37.72,76.376,72.262,846,AO,20080319102453
aoml/1900414/1900414_traj.nc,-32.226,-37.712,72.207,65.105,846,AO,20080324102242
aoml/1900415/1900415_traj.nc,-18.413,-23.251,4.049,-7.442,852,AO,20080323101846
aoml/1900424/1900424_traj.nc,-4.745,-9.562,-11.778,-34.82,852,AO,20080325101721
aoml/1900426/1900426_traj.nc,6.259,3.74,-16.865,-29.6667,852,AO,20080319101841
aoml/1900427/1900427_traj.nc,9.968,7.037,-21.846,-30.544,852,AO,20080320101752
aoml/1900428/1900428_traj.nc,15.995,12.937,-26.85,-35.767,852,AO,20080320101755
aoml/1900429/1900429_traj.nc,16.876,13.428,-24.53,-35.957,852,AO,20080321101741
aoml/1900430/1900430_traj.nc,20.499,14.348,-22.694,-28.987,852,AO,20080322101628
aoml/1900431/1900431_traj.nc,24.617,21.678,-20.846,-25.381,852,AO,20080322101801
aoml/1900432/1900432_traj.nc,13.608,11.336,48.144,45.057,846,AO,20080322102358
aoml/1900435/1900435_traj.nc,14.652,9.897,64.879,50.773,846,AO,20080322102401
aoml/1900444/1900444_traj.nc,-14.256,-17.174,-16.822,-26.704,852,AO,20080322101856
aoml/1900445/1900445_traj.nc,-20.148,-23.694,-1.727,-16.361,851,AO,20080324101914
aoml/1900487/1900487_traj.nc,-25.237,-35.044,-3.122,-27.183,852,AO,20080319101911
aoml/1900488/1900488_traj.nc,-31.438,-35.299,-9.902,-25.268,851,AO,20080320101820
aoml/1900489/1900489_traj.nc,-31.981,-38.089,-6.562,-22.776,851,AO,20080320101818
aoml/1900491/1900491_traj.nc,35.43,30.956,-14.843,-31.927,852,AO,20080324101927
aoml/1900492/1900492_traj.nc,-16.49,-19.9708,4.897,-5.839,851,AO,20080325101811
aoml/1900497/1900497_traj.nc,-24.451,-26.212,-7.396,-11.42,851,AO,20080322101912
aoml/1900498/1900498_traj.nc,-21.314,-24.608,-14.469,-22.865,852,AO,20080324101919
aoml/1900499/1900499_traj.nc,-19.986,-24.165,-17.821,-21.291,851,AO,20080323101945
aoml/1900504/1900504_traj.nc,14.887,6.516,-24.383,-44.849,852,AO,20080319102018
aoml/1900505/1900505_traj.nc,20.913,16.866,-23.8833,-34.123,852,AO,20080319102020
aoml/1900506/1900506_traj.nc,-24.162,-34.174,10.206,3.405,851,AO,20080321101915
aoml/1900525/1900525_traj.nc,-27.324,-33.528,-5,-20.503,852,AO,20080323102113
